frame_id,timestamp_ms,motion_score,contour_count
1,15855570,1.31284,20
2,15855578,1.8912,27
3,15855584,2.40796,31
4,15855590,2.55459,30
5,15855594,2.81576,30
6,15855600,2.78325,29
7,15855605,3.24035,31
8,15855612,3.20286,26
9,15855619,3.54808,29
10,15855625,3.61608,30
11,15855633,3.51309,31
12,15855641,3.80213,34
13,15855645,3.90403,35
14,15855654,3.7188,35
15,15855662,4.26138,42
16,15855667,3.83461,36
17,15855675,4.01085,40
18,15855680,3.73059,42
19,15855688,3.8506,41
20,15855693,3.91223,37
21,15855701,4.157,33
22,15855706,4.6603,26
23,15855713,5.50721,32
24,15855721,5.8173,31
25,15855726,7.40999,30
26,15855736,5.26208,31
27,15855740,7.15977,42
28,15855747,7.56139,41
29,15855751,8.32118,34
30,15855759,14.3651,37
31,15855763,18.0416,29
32,15855770,17.5135,32
33,15855774,17.2584,33
34,15855786,16.6791,35
35,15855789,13.2195,43
36,15855798,12.8821,43
37,15855806,12.0257,37
38,15855811,11.2296,45
39,15855821,10.3587,39
40,15855826,9.19341,42
41,15855834,8.86639,56
42,15855838,9.00205,59
43,15855846,12.0085,66
44,15855851,11.7662,64
45,15855859,9.88414,49
46,15855867,8.9986,55
47,15855870,7.6949,46
48,15855879,7.52062,48
49,15855883,6.93449,38
50,15855892,6.15671,32
51,15855895,5.52614,39
52,15855902,5.35535,36
53,15855906,6.04049,33
54,15855915,4.89113,39
55,15855920,2.87652,34
56,15855932,3.46873,37
57,15855944,4.31045,26
58,15855957,4.35166,24
59,15855969,5.75511,23
60,15855981,6.45274,22
61,15855993,5.27175,33
62,15856004,4.54126,26
63,15856016,4.18531,27
64,15856030,4.44606,36
65,15856055,5.28906,28
66,15856068,5.89357,24
67,15856081,5.8586,25
68,15856094,9.40184,23
69,15856106,7.89935,30
70,15856116,5.72526,29
71,15856129,4.96836,26
72,15856142,4.88081,28
73,15856154,4.63387,27
74,15856166,4.07212,25
75,15856179,3.28274,24
76,15856188,3.1304,25
77,15856199,3.08613,33
78,15856208,5.25547,16
79,15856221,4.97893,16
80,15856233,4.75297,21
81,15856242,4.70071,19
82,15856253,4.47492,17
83,15856263,4.17494,18
84,15856275,3.79376,22
85,15856284,3.2779,25
86,15856295,2.86282,29
87,15856306,2.89434,26
88,15856318,3.40529,21
89,15856329,5.43933,32
90,15856337,5.729,35
91,15856348,5.49684,31
92,15856357,6.38091,38
93,15856367,7.80119,36
94,15856377,4.33357,40
95,15856389,3.35971,37
96,15856398,5.05773,42
97,15856409,10.593,53
98,15856420,9.63901,76
99,15856433,10.7556,75
100,15856444,11.2733,66
101,15856456,11.1458,70
102,15856469,10.536,51
103,15856480,13.3805,45
104,15856491,14.6797,47
105,15856505,15.0465,48
106,15856520,12.3254,50
107,15856530,10.3345,51
108,15856542,8.69247,50
109,15856554,7.69973,44
110,15856568,8.07976,42
111,15856579,6.86523,45
112,15856589,6.24404,46
113,15856601,5.01194,52
114,15856611,5.87126,41
115,15856622,5.00465,39
116,15856633,4.30975,37
117,15856641,4.53651,38
118,15856652,4.24756,34
119,15856661,3.61998,30
120,15856671,3.15078,29
121,15856680,3.57342,32
122,15856691,5.03901,27
123,15856700,5.20274,28
124,15856711,4.89711,31
125,15856720,4.19633,29
126,15856731,4.03106,35
127,15856741,3.80025,32
128,15856753,3.1591,22
129,15856764,2.98582,26
130,15856774,1.49552,19
131,15856784,2.28221,19
132,15856795,2.48114,19
133,15856807,2.52951,24
134,15856818,2.41577,25
135,15856832,2.11557,30
136,15856843,3.28226,30
137,15856852,3.50803,31
138,15856864,2.95498,35
139,15856873,2.47242,24
140,15856884,2.73404,27
141,15856893,3.72999,19
142,15856905,3.6678,21
143,15856914,3.38288,24
144,15856924,2.93089,28
145,15856935,2.64176,27
